,index,text,is_sarcasm
0,0,when you go dorm to dorm for,False
1,1,podestaemails wikileaks breaking huge email id# was pre-selected as nom by,False
2,2,i speak the best hindi ,True
3,3,on the same day becomes our nominee we celebrate the life of my pup brookie i wont forget u baby,False
4,4,these are your us inteligence agencies how's the coast guard investigation going or dea or,True
5,5,my deplorable wife and deplorable me out knocking and handing out yard signs basketofdeplorables,True
6,6,congrats to my running mate on a big debate win proud to stand with you as we maga,False
7,7,hey you mad bro,True
8,8,it's still fuck you,False
9,9,please if you agree is biggest national embarrassment in american history,False
10,10,is brilliant and progressive and he will make a great vp alongside imwithher and i'm excited to be with them,False
11,11,fbi docs show that top state dept official discussed quid pro quo for reclassification of emails,False
12,12,i am continually amazed and terribly inspired by you if such an idiot can make a ton of money here's hope for me yet,True
13,13,you have failed failed and failed bigleaguetruth time to draintheswamp,False
14,14,even if you don't have children or grandchildren you will be asked for the rest of your life what did you do to stop,False
15,15,it's electionday who gets your vote vote retweet visit podestaemails are up,False
16,16,will be the st woman to be a major pa y presidential nom see the big moment on cnn demsinphilly,False
17,17,proud to be suppo ing united states,False
18,18,personally looks at hits comment counts on stories was i censored your call,True
19,19,fuck,False
20,20,and met with now fired times paid by dnc to induce violence at events wan,False
21,21,sits down between two ferns with zach galifianakis for her most memorable interview yet,False
22,22,any day is a great day for pho soup i love asians,True
23,23,reminder hillary passes out and gets chucked into a van like a side of beef hillaryshealth electionday voted,False
24,24,doesn't fit the msm narrative  so they wont share what did for jesse jackson in  so i will,False
25,25,hello boys this is my formal endorsement of i'm a woman last i checked and rudy u r amazing,True
26,26,wow thinks we muslim women aren't allowed to speak let's let him hear us in nov in honor of mrs khan raised fist medium-light skin tone trumpsacrifices,True
27,27,mrs bill clinton's worst nightmare black outreach he can connect with anyone,True
28,28,if you hate america so much you should run for president and fix things,False
29,29,police car light voter fraud police car light votes flipped from trump to clinton in pennsylvania electionday voted vote,False
30,30,lets go michigan get out in yuge s votetrumppence,False
31,31,tell us more about how sexism is wrong gopdebate,True
32,32,my deplorable wife and deplorable me out knocking and handing out yard signs basketofdeplorables,True
33,33,all these swamp people should be drained arrested along with hillary charged with accessory to murder,False
34,34,careless use of a secret server put national security at risk vpdebate bigleaguetruth,False
35,35,mr charles woods says hillary lied about how his son tyrone woods died in benghazi neverhillary,False
36,36,bless your hea,True
37,37,bold forward-looking economic plan will increase jobs wages incomes and oppo unities for all americans vpdebate,False
38,38,for the record i competed in treated me w nothing but the upmost suppo respect both during after my reign,False
39,39,hillary clinton is not the victim you the american people are the victims of this corrupt system ,False
40,40,anyone who is for women cannot vote for hillary,True
41,41,thank you for the terrific endorsement of by who will b our next potus,False
42,42,thanksobama for showing us the lies of politicians just like you will say anything to get elected,True
43,43,michiganders lost their jobs due to nafta i opposed that bad deal did not,True
44,44,family time after a long week on the campaign trail for definitely needed this maga trump,False
45,45,why i am a trump suppo er trump,False
46,46,repo man attacks female trump suppo er at florida polling station electionday,False
47,47,wow my newborn just said mum isn't prioritising symbolic victories over material gains antithetical to leftism,True
48,48,any democrat that votes for her is a mindless idiot her words not mine black voters should be incensed give,True
49,49,,False
50,50,if donald trump wins this election i will literally give people who retweet this tweet electionday,True
51,51,that moment when you're pretty sure not even your wife would want to vote for you electionday,True
52,52,is a criminal retweet yes favorite no,False
53,53,i mean if you're so good at negotiating how come you couldn't get,True
54,54,it's a great thing that the people of the uk have taken back their country says after brexit,True
55,55,anything happens to me there's a deadman's switch on pa ii which will be released monday and implicated,True
56,56,repo voter intimidation in philly trump observers kicked out  electionday,False
57,57,you know what [ not running to be pope,True
58,58,someone please help me locate this woman as mr trump has a gift for her,True
59,59,after crooked allowed isis to rise she now claims she'll defeat them laughable here's my plan,False
60,60,oga trump edakun when you win plss help me depo jide in texas me he stole my gf rm me in secondary school,True
61,61,father of soldier killed in benghazi endorses responsible for the death of my son,False
62,62,hillary finally has a record to run on she wasn't indicted epicfail mideastchaos fraud vote,True
63,63,unlike warmonger hillary won't sta wwii  jill stien a vote for hillary is a vote for ww,True
64,64, voting machines in ohio county switch republican to democrat votes myvote electionday electionnight,False
65,65,is not above the law debates,False
66,66,a very prophetic tweet by about anthony weiner over year ago retweet lockherup donate now,True
67,67,voters are a bit like brexit voters they have enthusiasm passion trump has momentum and i t,True
68,68,i gave up my per week job as office mgr to help fight for the presidency i donated many times all i want is an,False
69,69,if donald trump wins i'll paypal everyone that retweeted this electionday,True
70,70,yaas,False
71,71,someone please help me locate this woman as mr trump has a gift for her,True
72,72,update i've now called charities looking for proof that gave millions of his own to charity,True
73,73,perhaps finally justice will be done  publicly responds to news that the fbi is reopening,False
74,74,hey i'm sta ing to put together my halloween costume,True
75,75,one of my followers tweeted this meme yesterday i think it sums up quite nicely,False
76,76,being in vegas for pieceofme is amazing for so many reasons especially when you get to meet,False
77,77,i speak the best hindi ,True
78,78,after a decent first debate is back to form pedantic lawyerly technocratic woefully untruthful responses,True
79,79,tells suppo ers in florida to vote on november,False
80,80,campaigned for today in gmu in va encouraging young people to volunteer and vote sparkling hea sparkling hea sparkling hea,False
81,81,a shout out from at alsmithdinner,False
82,82, its called extreme vetting debates,True
83,83,rudy giuliani reacted to saying he will instruct a special prosecutor to look into,False
84,84,why the fuck do i even follow you because you're addicted to genius asshole,True
85,85,people who want their borders secured are not racists they're patriotic americans,False
86,86,dear future president please don t let the dreams of my generation get locked up,False
87,87,the kk has enthusiastically endorsed the kk the klu klux klan let's all vote this dick into,False
88,88,trump forced to keep his eye on his wife while voting electionday,False
89,89,unbelievable is considering for the supreme cou this is why americans think the,False
90,90,is being protected by a rigged system,True
91,91,finally trashed by will still reserve him a seat on the blue origin rocket senddonaldtospace,True
92,92,icymi we are not in a narrative fight maga,True
93,93,new here's the po rait that bought for and paid for with money earmarked for charity s,False
94,94,or the tl dr version i've called charities looking for proof gives millions to charity her,True
95,95,breaking historic moment when fbi suspect casts vote for an fbi suspect electionday,True
96,96,thank you annawintour for inviting me to this incredible event in suppo of,False
97,97,revelations that asked her maid to print out classified material at her home gives the word reckless a whole new meaning,True
98,98,the media wants to intimidate you into voting hillary but nobody will know who you push that button for break the cycle maga electionday,False
99,99,the concept of global warming was created by and for the chinese in order to make u s manufacturing non-competiti,False
100,100,i am you know adamantly against illegal immigration ,True
101,101,my deplorable wife and deplorable me out knocking and handing out yard signs basketofdeplorables,True
102,102,en route to oklahoma to campain for we're stronger together united states imwithher,False
103,103,in his apology pretends his behavior in the leaked tapes was an anomaly no it is a pattern,False
104,104,police car light breaking repo s of voterfraud in philly instructional ballot being handed out inside polling stations double exclamation mark,True
105,105,if anyone knows how to use a delete key it's you,True
106,106,i know where hillary clintons deleted emails are and how to get them legally,True
107,107,it's time to come together to ensure that is never elected president of the united states,False
