,index,text,is_sarcasm
0,0,my deplorable wife and deplorable me out knocking and handing out yard signs basketofdeplorables,True
1,1,congrats to my running mate on a big debate win proud to stand with you as we maga,False
2,2,hey you mad bro,True
3,3,it's still fuck you,False
4,4,please if you agree is biggest national embarrassment in american history,False
5,5,is brilliant and progressive and he will make a great vp alongside imwithher and i'm excited to be with them,False
6,6,fbi docs show that top state dept official discussed quid pro quo for reclassification of emails,False
7,7,vote for this election day or no pussy will be safe stronge ogether hillaryclinton,False
8,8,even if you don't have children or grandchildren you will be asked for the rest of your life what did you do to stop,False
9,9,what do we have here looks like uncovered footage of denouncing david duke in he's a bigot,True
10,10,will be the st woman to be a major pa y presidential nom see the big moment on cnn demsinphilly,False
11,11,personally looks at hits comment counts on stories was i censored your call,True
12,12,fuck,False
13,13,alex jones proven right about satanism connections learn more,False
14,14,sits down between two ferns with zach galifianakis for her most memorable interview yet,False
15,15,so my great grandmother who passed away in just got registered to vote in california hmm wonder who did that,True
16,16,wow thinks we muslim women aren't allowed to speak let's let him hear us in nov in honor of mrs khan raised fist medium-light skin tone trumpsacrifices,True
17,17,doesn't fit the msm narrative  so they wont share what did for jesse jackson in  so i will,False
18,18,thank you pensacola florida will draintheswamp with you and make america great aga,False
19,19,wow thinks we muslim women aren't allowed to speak let's let him hear us in nov in honor of mrs khan raised fist medium-light skin tone trumpsacrifices,True
20,20,mrs bill clinton's worst nightmare black outreach he can connect with anyone,True
21,21,if you hate america so much you should run for president and fix things,False
22,22, voting machines in ohio county switch republican to democrat votes myvote electionday electionnight,False
23,23,lgbtq+ lives are at stake in this election the trump pence ticket suppo s electrocuting the queerness out of kids,True
24,24,tell us more about how sexism is wrong gopdebate,True
25,25,michiganders lost their jobs due to nafta i opposed that bad deal did not,True
26,26,i don't believe in free college ,True
27,27,careless use of a secret server put national security at risk vpdebate bigleaguetruth,False
28,28,mr charles woods says hillary lied about how his son tyrone woods died in benghazi neverhillary,False
29,29,current issue of newsweek explains illegally deleted troves of subpoenaed emails double standard,True
30,30,bold forward-looking economic plan will increase jobs wages incomes and oppo unities for all americans vpdebate,False
31,31,for the record i competed in treated me w nothing but the upmost suppo respect both during after my reign,False
32,32,what do we have here looks like uncovered footage of denouncing david duke in he's a bigot,True
33,33,wants to make america great while crooked hill want to make america wait watch like and re-twe,True
34,34,thank you for the terrific endorsement of by who will b our next potus,False
35,35,what do we have here looks like uncovered footage of denouncing david duke in he's a bigot,True
36,36,investor's business daily poll,False
37,37,family time after a long week on the campaign trail for definitely needed this maga trump,False
38,38,why i am a trump suppo er trump,False
39,39,hillary clinton and alleged pedophile james alefantis owner of comet ping pong pizza connection confirmed heavy check mark,False
40,40,wow my newborn just said mum isn't prioritising symbolic victories over material gains antithetical to leftism,True
41,41,nevada poll leads to,False
42,42,,False
43,43,the kk has enthusiastically endorsed the kk the klu klux klan let's all vote this dick into,False
44,44,hey here's my weak dad who volunteered to take your place in vietnam he died early rip dad he,True
45,45,sent chelsea info now deemed classified,False
46,46,i mean if you're so good at negotiating how come you couldn't get,True
47,47,perhaps finally justice will be done  publicly responds to news that the fbi is reopening,False
48,48,sorry no one was paying attention to your announcement we are all too busy ready wikileaks dncleak,True
49,49,from pue o rico with love middle finger light skin tone middle finger medium-light skin tone middle finger medium skin tone middle finger medium-dark skin tone middle finger dark skin tone,True
50,50,if was president middle class would make more i honestly think he could keep jobs in america so true-easy,True
51,51,after crooked allowed isis to rise she now claims she'll defeat them laughable here's my plan,False
52,52,oga trump edakun when you win plss help me depo jide in texas me he stole my gf rm me in secondary school,True
53,53,hey i'm sta ing to put together my halloween costume,True
54,54,hello boys this is my formal endorsement of i'm a woman last i checked and rudy u r amazing,True
55,55,check out our new tool every time tweets something offensive automatically donate,True
56,56,is not above the law debates,False
57,57,campaign manager robbymook excuses voterfraud attacks me he's literally a professional excuse,False
58,58,mrs bill clinton's worst nightmare black outreach he can connect with anyone,True
59,59,vincefoster the suicide note was planted white heavy check mark whitewater cc &lt boo ghost,False
60,60,it is apparent that is unfit to be president the should tell the american people what they have we deserve to know,False
61,61,yaas,False
62,62,whether it's washington brussels or london we've seen emergence of an out of touch political class,True
63,63,voters of pa your lyft or uber to the polls is on us this electionday seriously just use promo code votepa in e,False
64,64,if you're in florida no h carolina or pennsylvania rides to from the polls today are free via and g,False
65,65,hey i'm sta ing to put together my halloween costume,True
66,66,one of my followers tweeted this meme yesterday i think it sums up quite nicely,False
67,67,being in vegas for pieceofme is amazing for so many reasons especially when you get to meet,False
68,68,just like all those emails requested by congress,True
69,69,after a decent first debate is back to form pedantic lawyerly technocratic woefully untruthful responses,True
70,70,tells suppo ers in florida to vote on november,False
71,71,campaigned for today in gmu in va encouraging young people to volunteer and vote sparkling hea sparkling hea sparkling hea,False
72,72,a shout out from at alsmithdinner,False
73,73,i believe the term is just rat delete,True
74,74,rudy giuliani reacted to saying he will instruct a special prosecutor to look into,False
75,75,why the fuck do i even follow you because you're addicted to genius asshole,True
76,76,people who want their borders secured are not racists they're patriotic americans,False
77,77,dear future president please don t let the dreams of my generation get locked up,False
78,78,lets go michigan get out in yuge s votetrumppence,False
